Angulo_grados,Bs_trans_efectivo,Modo_Detectores,NumTest,CoinWin_ns,Tp_us,NG_testigo,NGT_transmitido,NGR_reflejado,NGTR_coincidencia_triple,g2_calculado,estadistica_insuficiente
0.0,1.0,2,1,5.0,500000.0,,187,7,1,0.763942,False
0.0,1.0,3,1,5.0,500000.0,224,208,13,3,0.248521,False
1.0,0.998782,2,1,5.0,500000.0,,227,5,1,0.881057,False
1.0,0.998782,3,1,5.0,500000.0,237,250,8,2,0.237,False
2.0,0.995134,2,1,5.0,500000.0,,236,12,4,1.412429,False
2.0,0.995134,3,1,5.0,500000.0,224,219,8,1,0.127854,False
3.0,0.989074,2,1,5.0,500000.0,,212,11,1,0.428816,False
3.0,0.989074,3,1,5.0,500000.0,225,221,15,1,0.067873,False
4.0,0.980631,2,1,5.0,500000.0,,224,15,4,1.190476,False
4.0,0.980631,3,1,5.0,500000.0,212,221,10,1,0.095928,False
5.0,0.969846,2,1,5.0,500000.0,,216,16,3,0.868056,False
5.0,0.969846,3,1,5.0,500000.0,241,244,14,1,0.07055,False
6.0,0.956773,2,1,5.0,500000.0,,223,18,1,0.249128,False
6.0,0.956773,3,1,5.0,500000.0,219,212,26,3,0.119194,False
7.0,0.941474,2,1,5.0,500000.0,,210,23,2,0.414079,False
7.0,0.941474,3,1,5.0,500000.0,212,192,21,4,0.210317,False
8.0,0.924024,2,1,5.0,500000.0,,194,27,2,0.381825,False
8.0,0.924024,3,1,5.0,500000.0,229,209,17,1,0.064453,False
9.0,0.904508,2,1,5.0,500000.0,,188,30,4,0.70922,False
9.0,0.904508,3,1,5.0,500000.0,246,206,25,2,0.095534,False
10.0,0.883022,2,1,5.0,500000.0,,199,22,2,0.45683,False
10.0,0.883022,3,1,5.0,500000.0,210,183,45,1,0.025501,False
11.0,0.85967,2,1,5.0,500000.0,,166,35,1,0.172117,False
11.0,0.85967,3,1,5.0,500000.0,233,194,36,1,0.033362,False
12.0,0.834565,2,1,5.0,500000.0,,185,37,3,0.438276,False
12.0,0.834565,3,1,5.0,500000.0,221,186,45,1,0.026404,False
13.0,0.807831,2,1,5.0,500000.0,,164,40,1,0.152439,False
13.0,0.807831,3,1,5.0,500000.0,220,186,49,3,0.072416,False
14.0,0.779596,2,1,5.0,500000.0,,176,46,0,0.0,False
14.0,0.779596,3,1,5.0,500000.0,203,176,51,3,0.067848,False
15.0,0.75,2,1,5.0,500000.0,,165,58,0,0.0,False
15.0,0.75,3,1,5.0,500000.0,197,149,66,2,0.040065,False
16.0,0.719186,2,1,5.0,500000.0,,166,65,2,0.185357,False
16.0,0.719186,3,1,5.0,500000.0,219,164,63,0,0.0,False
17.0,0.687303,2,1,5.0,500000.0,,152,65,1,0.101215,False
17.0,0.687303,3,1,5.0,500000.0,226,145,88,2,0.035423,False
18.0,0.654508,2,1,5.0,500000.0,,160,92,1,0.067935,False
18.0,0.654508,3,1,5.0,500000.0,224,151,72,0,0.0,False
19.0,0.620961,2,1,5.0,500000.0,,147,87,2,0.156384,False
19.0,0.620961,3,1,5.0,500000.0,228,133,89,2,0.038523,False
20.0,0.586824,2,1,5.0,500000.0,,137,83,3,0.263829,False
20.0,0.586824,3,1,5.0,500000.0,220,138,91,1,0.017519,False
21.0,0.552264,2,1,5.0,500000.0,,118,99,1,0.085602,False
21.0,0.552264,3,1,5.0,500000.0,224,133,99,2,0.034024,False
22.0,0.51745,2,1,5.0,500000.0,,114,129,0,0.0,False
22.0,0.51745,3,1,5.0,500000.0,220,120,121,1,0.015152,False
23.0,0.48255,2,1,5.0,500000.0,,111,114,2,0.158053,False
23.0,0.48255,3,1,5.0,500000.0,223,111,122,0,0.0,False
24.0,0.447736,2,1,5.0,500000.0,,101,127,1,0.077961,False
24.0,0.447736,3,1,5.0,500000.0,246,111,138,2,0.032119,False
25.0,0.413176,2,1,5.0,500000.0,,96,130,1,0.080128,False
25.0,0.413176,3,1,5.0,500000.0,217,96,130,3,0.052163,False
26.0,0.379039,2,1,5.0,500000.0,,83,143,2,0.168506,False
26.0,0.379039,3,1,5.0,500000.0,225,65,145,1,0.023873,False
27.0,0.345492,2,1,5.0,500000.0,,71,140,3,0.301811,False
27.0,0.345492,3,1,5.0,500000.0,210,69,144,2,0.042271,False
28.0,0.312697,2,1,5.0,500000.0,,78,163,2,0.157307,False
28.0,0.312697,3,1,5.0,500000.0,198,76,132,3,0.059211,False
29.0,0.280814,2,1,5.0,500000.0,,73,141,1,0.097153,False
29.0,0.280814,3,1,5.0,500000.0,244,75,177,3,0.055141,False
30.0,0.25,2,1,5.0,500000.0,,68,174,0,0.0,False
30.0,0.25,3,1,5.0,500000.0,210,63,151,1,0.022075,False
31.0,0.220404,2,1,5.0,500000.0,,45,184,3,0.362319,False
31.0,0.220404,3,1,5.0,500000.0,222,57,181,0,0.0,False
32.0,0.192169,2,1,5.0,500000.0,,52,186,2,0.206782,False
32.0,0.192169,3,1,5.0,500000.0,234,51,189,3,0.072829,False
33.0,0.165435,2,1,5.0,500000.0,,44,172,6,0.792812,False
33.0,0.165435,3,1,5.0,500000.0,220,35,179,3,0.105347,False
34.0,0.14033,2,1,5.0,500000.0,,49,204,2,0.20008,False
34.0,0.14033,3,1,5.0,500000.0,219,43,189,1,0.026947,False
35.0,0.116978,2,1,5.0,500000.0,,33,192,3,0.473485,False
35.0,0.116978,3,1,5.0,500000.0,211,31,210,1,0.032412,False
36.0,0.095492,2,1,5.0,500000.0,,25,209,1,0.191388,False
36.0,0.095492,3,1,5.0,500000.0,217,33,202,2,0.065107,False
37.0,0.075976,2,1,5.0,500000.0,,18,183,1,0.303582,False
37.0,0.075976,3,1,5.0,500000.0,222,28,216,4,0.146825,False
38.0,0.058526,2,1,5.0,500000.0,,15,220,3,0.909091,False
38.0,0.058526,3,1,5.0,500000.0,215,23,196,1,0.047693,False
39.0,0.043227,2,1,5.0,500000.0,,16,206,1,0.303398,False
39.0,0.043227,3,1,5.0,500000.0,224,16,215,0,0.0,False
40.0,0.030154,2,1,5.0,500000.0,,10,198,3,1.515152,False
40.0,0.030154,3,1,5.0,500000.0,209,12,215,3,0.243023,False
41.0,0.019369,2,1,5.0,500000.0,,18,230,2,0.483092,False
41.0,0.019369,3,1,5.0,500000.0,210,12,219,1,0.079909,False
42.0,0.010926,2,1,5.0,500000.0,,7,219,0,0.0,False
42.0,0.010926,3,1,5.0,500000.0,223,10,214,1,0.104206,False
43.0,0.004866,2,1,5.0,500000.0,,8,221,2,1.131222,False
43.0,0.004866,3,1,5.0,500000.0,208,8,202,0,0.0,False
44.0,0.001218,2,1,5.0,500000.0,,8,216,1,0.578704,False
44.0,0.001218,3,1,5.0,500000.0,211,8,213,2,0.247653,False
45.0,0.0,2,1,5.0,500000.0,,7,208,1,0.686813,False
45.0,0.0,3,1,5.0,500000.0,243,4,241,0,0.0,False
46.0,0.001218,2,1,5.0,500000.0,,10,213,1,0.469484,False
46.0,0.001218,3,1,5.0,500000.0,231,7,234,1,0.141026,False
47.0,0.004866,2,1,5.0,500000.0,,11,209,3,1.304915,False
47.0,0.004866,3,1,5.0,500000.0,224,11,226,3,0.270314,False
48.0,0.010926,2,1,5.0,500000.0,,9,219,0,0.0,False
48.0,0.010926,3,1,5.0,500000.0,213,9,224,0,0.0,False
49.0,0.019369,2,1,5.0,500000.0,,17,195,4,1.206637,False
49.0,0.019369,3,1,5.0,500000.0,234,14,234,4,0.285714,False
50.0,0.030154,2,1,5.0,500000.0,,13,197,5,1.952362,False
50.0,0.030154,3,1,5.0,500000.0,232,16,234,3,0.185897,False
51.0,0.043227,2,1,5.0,500000.0,,20,210,2,0.47619,False
